species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Abroscopus_albogularis,PASSERIFORMES,-1.079,1.609,0.143,Resident.MidLat,0,0.042,1.531,1.634,1.531,0.03,0.011,1.767,-0.504,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,Aggregation
Acanthagenys_rufogularis,PASSERIFORMES,0.144,3.915,0.164,Resident.MidLat,0,0,1.35,1.356,1.35,0.007,0.009,-3.067,-0.509,1,1,1,0.17,14.5,16.5,altricial,Facultative,Solitary,Aggregation
Acanthiza_chrysorrhoa,PASSERIFORMES,-0.777,2.303,0.09,Resident.MidLat,0,0.008,1.376,1.372,1.376,0.008,0.01,-2.463,-0.088,0,1,1,0.152,16.4,18.5,altricial,Polygamous,Solitary,Aggregation
Acanthiza_ewingii,PASSERIFORMES,-0.462,1.386,0.874,Resident.HighLat,0,0.418,1.547,1.522,1.547,0.012,0.015,1.539,2.119,0,1,1,0.173,NA,NA,altricial,Monogamous,Solitary,Aggregation
Acanthiza_inornata,PASSERIFORMES,-0.821,2.14,0.128,Resident.MidLat,0,0.001,1.531,1.412,1.531,0.024,0.012,0.904,0.2,0,1,1,0.131,NA,NA,altricial,NA,NA,NA
Acanthiza_lineata,PASSERIFORMES,-0.664,1.906,0.405,Resident.MidLat,0,0.008,1.508,1.465,1.508,0.016,0.015,1.129,2.944,0,1,1,0.096,16.3,18.5,altricial,Monogamous,Solitary,Aggregation
Acanthiza_nana,PASSERIFORMES,-0.994,1.981,0.036,Resident.MidLat,0,0.004,1.435,1.429,1.435,0.012,0.013,-0.565,1.679,0,1,1,0.153,NA,NA,altricial,NA,NA,NA
Acanthiza_pusilla,PASSERIFORMES,-0.817,1.89,0.26,Resident.MidLat,0,0.032,1.507,1.475,1.507,0.016,0.015,1.131,2.846,0,1,1,0.106,18.1,15.7,altricial,Monogamous,Solitary,Aggregation
Acanthiza_reguloides,PASSERIFORMES,-0.904,2.015,0.109,Resident.MidLat,0,0.004,1.448,1.444,1.448,0.013,0.013,-0.288,1.795,0,1,1,0.253,13.2,15.2,altricial,Monogamous,Solitary,Aggregation
Acanthiza_uropygialis,PASSERIFORMES,-0.994,1.872,0.092,Resident.MidLat,0,0.001,1.35,1.349,1.35,0.007,0.009,-3.027,-0.442,0,1,0,0.152,NA,NA,altricial,Monogamous,Solitary,Bonded
Acanthorhynchus_tenuirostris,PASSERIFORMES,-0.4,2.11,0.564,Resident.MidLat,0,0.048,1.543,1.508,1.543,0.015,0.015,0.981,2.556,0,1,1,0.148,14.4,13.7,altricial,Monogamous,Solitary,Bonded
Accipiter_cirrocephalus,ACCIPITRIFORMES,0.854,5.135,0.244,Resident.MidLat,0,0.007,1.435,1.449,1.435,0.011,0.01,-1.765,0.247,0,1,1,0.001,36,28.1,semialtricial,Monogamous,Solitary,Solitary
Accipiter_cooperii,ACCIPITRIFORMES,1.474,5.778,0.536,Migrant.Short,2548.048,NA,1.212,1.412,1.403,0.056,0.013,NA,NA,0,0,1,0,35,29.75,semialtricial,Monogamous,Solitary,Solitary
Accipiter_fasciatus,ACCIPITRIFORMES,1.537,5.998,0.49,Resident.MidLat,0,0.004,1.385,1.403,1.385,0.008,0.009,-2.714,-0.453,0,1,1,0.002,30.5,30.25,semialtricial,Monogamous,Solitary,Solitary
Accipiter_gentilis,ACCIPITRIFORMES,2.065,6.759,0.639,Resident.HighLat,0,14.324,1.138,1.303,1.138,0.07,0.019,20.529,-6.441,0,0,1,0,34.75,36.4,semialtricial,Monogamous,Solitary,Pair
Accipiter_haplochrous,ACCIPITRIFORMES,1.374,5.321,0.672,Resident.MidLat,0,0,1.583,1.615,1.583,0.007,0.01,-2.37,0.394,0,1,1,0.002,NA,NA,semialtricial,NA,NA,NA
Accipiter_novaehollandiae,ACCIPITRIFORMES,1.567,6.325,0.36,Resident.MidLat,0,0.014,1.532,1.544,1.532,0.013,0.013,-0.306,1.598,0,1,1,0.002,32.5,37.5,semialtricial,Monogamous,Solitary,Solitary
Accipiter_striatus,ACCIPITRIFORMES,0.792,4.771,0.373,Migrant.Short,2959.181,NA,1.088,1.296,1.43,0.084,0.015,NA,NA,0,0,1,0.001,32,25.5,semialtricial,Monogamous,Solitary,Solitary
Acridotheres_tristis,PASSERIFORMES,0.906,4.687,0.528,Resident.MidLat,0,0.685,1.434,1.53,1.434,0.023,0.01,1.701,-2.478,0,1,0,0.093,15.5,23.8,altricial,Monogamous,Facultative,Aggregation
Acrocephalus_arundinaceus,PASSERIFORMES,-0.122,3.084,0.333,Migrant.Long,5814.268,NA,1.283,1.374,1.545,0.069,0.013,NA,NA,0,1,0,0.023,14,13,altricial,Facultative,Solitary,NA
Acrocephalus_schoenobaenus,PASSERIFORMES,-0.829,2.378,-0.002,Migrant.Long,6502.247,NA,1.205,1.345,1.492,0.076,0.015,NA,NA,0,1,0,0.08,14,13.5,altricial,Monogamous,Solitary,NA
Actitis_hypoleucos,CHARADRIIFORMES,-0.139,3.958,-0.142,Migrant.Long,6069.374,NA,1.152,1.282,1.616,0.095,0.014,NA,NA,0,1,0,0.021,21.5,8.8,precocial,Monogamous,Solitary,Solitary
Actitis_macularius,CHARADRIIFORMES,-0.387,3.876,-0.346,Migrant.Long,6849.823,NA,1.163,1.327,1.562,0.103,0.015,NA,NA,0,1,0,0.001,21,9.3,precocial,Polygamous,Solitary,Solitary
Aechmophorus_occidentalis,PODICIPEDIFORMES,1.308,7.046,-0.263,Migrant.Short,1523.819,NA,1.225,1.35,1.445,0.061,0.016,NA,NA,0,1,0,0.001,23,0.1,precocial,Monogamous,Colonial,Aggregation
Aegithina_tiphia,PASSERIFORMES,-0.421,2.511,0.336,Resident.LowLat,0,0.003,1.526,1.618,1.526,0.021,0.011,0.226,0.101,0,1,0,0,14,NA,altricial,Monogamous,Solitary,Aggregation
Aegolius_acadicus,STRIGIFORMES,1.211,4.292,1.036,Migrant.Short,928.901,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.002,27,29.25,semialtricial,Facultative,Solitary,Solitary
Aegolius_funereus,STRIGIFORMES,1.39,4.513,1.103,Resident.HighLat,0,16.241,1.097,1.263,1.097,0.081,0.02,22.874,-7.394,0,1,1,0.002,28.5,30.85,semialtricial,Facultative,Solitary,Solitary
Aegotheles_cristatus,APODIFORMES,0.359,3.712,0.483,Resident.MidLat,0,0.005,1.364,1.383,1.364,0.008,0.009,-2.902,-0.634,0,1,1,0,27,26,semialtricial,Monogamous,NA,NA
Aeronautes_saxatalis,APODIFORMES,-0.375,3.611,-0.196,Migrant.Short,1735.716,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,24,43,altricial,Monogamous,Colonial,Aggregation
Aethopyga_nipalensis,PASSERIFORMES,-1.101,1.792,0.026,Resident.MidLat,0,0.419,1.51,1.655,1.51,0.027,0.013,3.119,-0.277,0,1,1,0.148,NA,NA,altricial,Monogamous,Solitary,Aggregation
